epoch;loss;acc;val_loss;val_acc
0;21.083098924424913;0.0;25.883958572387694;0.0
1;19.856910890367296;0.0;19.55372018432617;0.0
2;17.95066010538737;0.0;17.66040020751953;0.0
3;15.153404696146648;0.0;14.947073989868164;0.0
4;12.43067269897461;0.0;12.906012054443359;0.0
5;9.909558908250597;0.0;12.098913146972656;0.0
6;7.471922006395128;0.0;11.865200881958009;0.0
7;5.05119055557251;0.0012222222222222222;12.152606086730957;0.001
8;3.113262794918484;0.018222222222222223;12.60929916381836;0.0
9;1.8506807782914902;0.09811111111111111;13.454733169555665;0.001
10;1.1933343600167168;0.2658888888888889;14.467371002197266;0.003
11;0.8915633355246649;0.4222222222222222;14.776370651245117;0.001
12;0.7145028967327541;0.5411111111111111;15.190196044921874;0.005
13;0.6151205298635695;0.6111111111111112;15.696343452453613;0.003
14;0.5656237419446309;0.6541111111111111;16.300887283325196;0.006
15;0.5130044191678365;0.6967777777777778;16.988464416503906;0.005
16;0.4759887620608012;0.7185555555555555;17.067582595825197;0.007
17;0.44910971313052706;0.7441111111111111;16.719331787109375;0.005
18;0.4131614051659902;0.7676666666666667;17.376733253479003;0.003
19;0.3955921367141936;0.7808888888888889;17.70111582183838;0.003
20;0.3631715066168043;0.8005555555555556;18.14682881164551;0.007
21;0.37380726374520196;0.8017777777777778;17.94979763031006;0.007
22;0.33213707452350194;0.821;18.27780559539795;0.005
23;0.33022297069761486;0.8176666666666667;18.433208183288574;0.008
24;0.31655959682994417;0.8383333333333334;18.533579696655273;0.005
